"Question","QuestionType","ResponseValue","ID","Created"
"Are you using an external file or system as a data source for your custom Agent?","Yes,No",,"2","10/15/2025 10:49 PM"
"What is the original source of the data? Select all that apply","Choice","Salesforce, UKG Data Warehouse, ServiecNow, Jira, Sharepoint, D365, UKG Products Data","3","10/15/2025 10:49 PM"
"Does this custom Agent contain any Customer-related data?","Yes,No",,"4","10/15/2025 10:49 PM"
"Does this custom Agent  contain any Employee-related data?","Yes,No",,"5","10/15/2025 10:49 PM"
"Does this custom Agent  contain any Financial-related data?","Yes,No",,"6","10/15/2025 10:49 PM"
"Does this custom Agent  contain any Product-related data?","Yes,No",,"7","10/15/2025 10:49 PM"
"Is the current data source accessible to all UKG employees?","Yes,No",,"8","10/15/2025 10:49 PM"
"Do team members who has access to your custom Agent also have access to the original data source?","Yes,No",,"9","10/15/2025 10:49 PM"
"Is the Agent collecting any data during use? If yes, please describe what is being collected in the Use Case Opportunity field.","Yes,No",,"10","10/15/2025 10:49 PM"
"Does this custom Agent use synthetic data?","Yes,No",,"11","10/15/2025 10:49 PM"
"Does this custom Agent have any Personally Identifiable Information data? Refer to UKG Data Policy","Yes,No",,"12","10/15/2025 10:49 PM"
"Will outputs from the custom Agent inform or make employment or other high‑risk decisions? ","Yes,No",,"13","10/15/2025 10:49 PM"
"Is there a ""Human In the Loop"" for this custom Agent?","Yes,No",,"14","10/15/2025 10:49 PM"
"Where are the Intended users of this custom Agent located?","Choice","AMER, APAC, EMEA, ANZ, All Regions","15","10/15/2025 10:49 PM"
"Does this custom Agent have Support channel & escalation path & target Service Level Agrements established?","Yes,No",,"16","10/15/2025 10:49 PM"
"Does this custom Agent have a documented Data flow diagram (ingest → storage/index → model → actions)?","Yes,No",,"17","10/15/2025 10:49 PM"
"Does this custom Agent have a  Tools/actions with write privileges (systems, scopes, guardrails)?","Yes,No",,"18","10/15/2025 10:49 PM"
"Done Sensitive attributes (e.g., race, health, unions) processed?","Yes,No",,"19","10/15/2025 10:49 PM"
"What Data classification level would you assign to this custom agent?","Choice","Public,Internal,Confidential,Restricted","20","10/15/2025 10:49 PM"
"Do you attest that this custom agent would comply with UKG AI policy thought out it lifecycle from PoC to Implementation to Retirement?","Yes,No",,"21","10/15/2025 10:49 PM"
"Would you confirm that sharing this Agent now and future would not violate the UKG AI policy?","Yes,No",,"22","10/15/2025 10:49 PM"
